TicketID,OpeningVersion,FixedVersion,InjectedVersion
SYNCOPE-638,1.2.3,1.2.3,1.2.2
SYNCOPE-664,1.2.4,1.2.4,1.2.3
SYNCOPE-659,1.2.4,1.2.4,1.2.3
SYNCOPE-658,1.2.4,1.2.4,1.2.3
SYNCOPE-656,1.2.4,1.2.4,1.2.3
SYNCOPE-655,1.2.4,1.2.4,1.2.3
SYNCOPE-654,1.2.4,1.2.4,1.2.3
SYNCOPE-684,1.2.5,1.2.5,1.2.4
SYNCOPE-683,1.2.5,1.2.5,1.2.4
SYNCOPE-682,1.2.5,1.2.5,1.2.4
SYNCOPE-678,1.2.5,1.2.5,1.2.4
SYNCOPE-677,1.2.5,1.2.5,1.2.4
SYNCOPE-673,1.2.5,1.2.5,1.2.2
SYNCOPE-672,1.2.5,1.2.5,1.2.4
SYNCOPE-671,1.2.5,1.2.5,1.2.4
SYNCOPE-670,1.2.5,1.2.5,1.2.4
SYNCOPE-669,1.2.5,1.2.5,1.2.4
SYNCOPE-668,1.2.5,1.2.5,1.2.4
SYNCOPE-717,1.2.6,1.2.6,1.2.5
SYNCOPE-716,1.2.6,1.2.6,1.2.5
SYNCOPE-712,1.2.6,1.2.6,1.2.5
SYNCOPE-710,1.2.6,1.2.6,1.2.5
SYNCOPE-707,1.2.6,1.2.6,1.2.5
SYNCOPE-706,1.2.6,1.2.6,1.2.6
SYNCOPE-703,1.2.6,1.2.6,1.2.6
SYNCOPE-702,1.2.6,1.2.6,1.2.6,stimato
SYNCOPE-691,1.2.6,1.2.6,1.2.5
SYNCOPE-689,1.2.6,1.2.6,1.2.6
SYNCOPE-688,1.2.6,1.2.6,1.2.6
SYNCOPE-686,1.2.6,1.2.6,1.2.5
SYNCOPE-741,2.0.0-M1,2.0.0-M1,1.2.6
SYNCOPE-739,2.0.0-M1,2.0.0-M1,1.2.6
SYNCOPE-734,2.0.0-M1,2.0.0-M1,2.0.0-M1,stimato
SYNCOPE-733,2.0.0-M1,2.0.0-M1,2.0.0-M1
SYNCOPE-729,2.0.0-M1,2.0.0-M1,1.2.6
SYNCOPE-782,2.0.0-M2,2.0.0-M2,2.0.0-M2
SYNCOPE-776,2.0.0-M2,2.0.0-M2,2.0.0-M1
SYNCOPE-775,2.0.0-M2,2.0.0-M2,2.0.0-M1
SYNCOPE-774,2.0.0-M2,2.0.0-M2,2.0.0-M2
SYNCOPE-769,2.0.0-M2,2.0.0-M2,1.2.7
SYNCOPE-768,2.0.0-M2,2.0.0-M2,1.2.7
SYNCOPE-762,2.0.0-M2,2.0.0-M2,2.0.0-M1
SYNCOPE-759,2.0.0-M2,2.0.0-M2,2.0.0-M1
SYNCOPE-758,2.0.0-M2,2.0.0-M2,2.0.0-M1
SYNCOPE-756,1.2.7,2.0.0-M2,2.0.0-M1
SYNCOPE-735,2.0.0-M1,2.0.0-M2,1.2.6
