TicketID,OpeningVersion,FixedVersion,InjectedVersion
BOOKKEEPER-664,4.2.2,4.3.0,4.2.1
BOOKKEEPER-638,4.2.2,4.3.0,4.2.2
BOOKKEEPER-602,4.2.2,4.3.0,4.2.1,stimato
BOOKKEEPER-767,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-766,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-765,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-763,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-755,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-751,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-750,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-746,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-745,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-744,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-743,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-742,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-740,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-731,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-730,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-729,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-728,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-727,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-726,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-725,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-724,4.2.3,4.2.3,4.2.3,stimato
BOOKKEEPER-708,4.3.0,4.2.3,4.2.2,stimato
BOOKKEEPER-654,4.2.2,4.2.3,4.2.1,stimato
BOOKKEEPER-363,4.1.1,4.2.3,4.1.0,stimato
BOOKKEEPER-854,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-848,4.3.1,4.3.1,4.3.0
BOOKKEEPER-847,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-840,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-839,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-838,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-835,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-834,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-833,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-831,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-828,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-821,4.3.1,4.3.1,4.3.0
BOOKKEEPER-815,4.3.1,4.3.1,4.3.0
BOOKKEEPER-814,4.3.1,4.3.1,4.3.0
BOOKKEEPER-813,4.3.1,4.3.1,4.3.0
BOOKKEEPER-809,4.3.1,4.3.1,4.3.0
BOOKKEEPER-805,4.3.1,4.3.1,4.3.0
BOOKKEEPER-804,4.3.1,4.3.1,4.3.0
BOOKKEEPER-803,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-801,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-800,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-799,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-797,4.3.1,4.3.1,4.3.0
BOOKKEEPER-795,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-793,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-786,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-785,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-784,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-783,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-780,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-779,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-778,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-777,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-774,4.3.1,4.3.1,4.3.1,stimato
BOOKKEEPER-768,4.2.3,4.3.1,4.2.2
BOOKKEEPER-739,4.2.3,4.3.1,4.3.0,stimato
BOOKKEEPER-695,4.3.0,4.3.1,4.3.0
BOOKKEEPER-872,4.3.2,4.3.2,4.3.2,stimato
BOOKKEEPER-863,4.3.2,4.3.2,4.3.2,stimato
BOOKKEEPER-858,4.3.2,4.3.2,4.3.2,stimato
BOOKKEEPER-823,4.3.1,4.3.2,4.2.3,stimato
BOOKKEEPER-802,4.3.1,4.3.2,4.2.3,stimato
BOOKKEEPER-926,4.4.0,4.4.0,4.3.1
BOOKKEEPER-925,4.4.0,4.4.0,4.4.0,stimato
BOOKKEEPER-921,4.4.0,4.4.0,4.4.0
BOOKKEEPER-917,4.4.0,4.4.0,4.4.0
BOOKKEEPER-914,4.4.0,4.4.0,4.4.0,stimato
BOOKKEEPER-913,4.4.0,4.4.0,4.4.0,stimato
BOOKKEEPER-911,4.4.0,4.4.0,4.3.2
BOOKKEEPER-910,4.4.0,4.4.0,4.3.2
BOOKKEEPER-909,4.4.0,4.4.0,4.3.2
BOOKKEEPER-904,4.4.0,4.4.0,4.4.0
BOOKKEEPER-902,4.4.0,4.4.0,4.4.0,stimato
BOOKKEEPER-900,4.4.0,4.4.0,4.3.2
BOOKKEEPER-899,4.4.0,4.4.0,4.3.2
BOOKKEEPER-898,4.4.0,4.4.0,4.3.2
BOOKKEEPER-897,4.4.0,4.4.0,4.4.0,stimato
BOOKKEEPER-893,4.4.0,4.4.0,4.3.2
BOOKKEEPER-891,4.4.0,4.4.0,4.4.0,stimato
BOOKKEEPER-890,4.4.0,4.4.0,4.3.2
BOOKKEEPER-883,4.4.0,4.4.0,4.4.0,stimato
BOOKKEEPER-794,4.3.1,4.4.0,4.3.0,stimato
BOOKKEEPER-769,4.2.3,4.4.0,4.2.2,stimato
BOOKKEEPER-594,4.2.1,4.4.0,4.0.0,stimato
BOOKKEEPER-578,4.2.1,4.4.0,4.0.0,stimato
BOOKKEEPER-1104,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1103,4.5.0,4.5.0,4.5.0
BOOKKEEPER-1102,4.5.0,4.5.0,4.5.0
BOOKKEEPER-1098,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1079,4.5.0,4.5.0,4.5.0
BOOKKEEPER-1077,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1075,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1074,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1073,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1072,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1071,4.5.0,4.5.0,4.5.0
BOOKKEEPER-1061,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1058,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1047,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1044,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1031,4.5.0,4.5.0,4.4.0
BOOKKEEPER-1021,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1020,4.5.0,4.5.0,4.5.0
BOOKKEEPER-1018,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-1013,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-999,4.5.0,4.5.0,4.4.0
BOOKKEEPER-989,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-988,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-987,4.5.0,4.5.0,4.5.0
BOOKKEEPER-986,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-984,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-980,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-959,4.5.0,4.5.0,4.4.0
BOOKKEEPER-958,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-957,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-956,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-955,4.5.0,4.5.0,4.5.0,stimato
